Year,Year ending,Quarter,Month,Family Incident Count
2025,June,Apr-Jun,April,8657
2025,June,Apr-Jun,June,7862
2025,June,Apr-Jun,May,8642
2025,June,Jan-Mar,February,8709
2025,June,Jan-Mar,January,9397
2025,June,Jan-Mar,March,9540
2025,June,Jul-Sept,August,8991
2025,June,Jul-Sept,July,8389
2025,June,Jul-Sept,September,8520
2025,June,Oct-Dec,December,9734
2025,June,Oct-Dec,November,9035
2025,June,Oct-Dec,October,8951
2024,June,Apr-Jun,April,8024
2024,June,Apr-Jun,June,8034
2024,June,Apr-Jun,May,8915
2024,June,Jan-Mar,February,8494
2024,June,Jan-Mar,January,8729
2024,June,Jan-Mar,March,8961
2024,June,Jul-Sept,August,7692
2024,June,Jul-Sept,July,7427
2024,June,Jul-Sept,September,7519
2024,June,Oct-Dec,December,8791
2024,June,Oct-Dec,November,8256
2024,June,Oct-Dec,October,7968
2023,June,Apr-Jun,April,7402
2023,June,Apr-Jun,June,7229
2023,June,Apr-Jun,May,7508
2023,June,Jan-Mar,February,7784
2023,June,Jan-Mar,January,8371
2023,June,Jan-Mar,March,8219
2023,June,Jul-Sept,August,7809
2023,June,Jul-Sept,July,7205
2023,June,Jul-Sept,September,7503
2023,June,Oct-Dec,December,8374
2023,June,Oct-Dec,November,7848
2023,June,Oct-Dec,October,7859
2022,June,Apr-Jun,April,7460
2022,June,Apr-Jun,June,7201
2022,June,Apr-Jun,May,7452
2022,June,Jan-Mar,February,7476
2022,June,Jan-Mar,January,7977
2022,June,Jan-Mar,March,8121
2022,June,Jul-Sept,August,7428
2022,June,Jul-Sept,July,7299
2022,June,Jul-Sept,September,6840
2022,June,Oct-Dec,December,8388
2022,June,Oct-Dec,November,7754
2022,June,Oct-Dec,October,7143
2021,June,Apr-Jun,April,7185
2021,June,Apr-Jun,June,7366
2021,June,Apr-Jun,May,7805
2021,June,Jan-Mar,February,7722
2021,June,Jan-Mar,January,8086
2021,June,Jan-Mar,March,8122
2021,June,Jul-Sept,August,7881
2021,June,Jul-Sept,July,7145
2021,June,Jul-Sept,September,7430
2021,June,Oct-Dec,December,8337
2021,June,Oct-Dec,November,8120
2021,June,Oct-Dec,October,8236
